student_id,gender,age,study_hours_per_day,attendance_percent,parental_education,internet_access,extra_curricular,sleep_hours,prev_year_score,school_type,tutoring,math_score,reading_score,writing_score,final_score
250,Female,18,3.6,76.3,High School,Yes,Yes,7.2,88.9,Public,Yes,33.7,32.0,31.6,32.4
251,Male,17,3.7,63.5,Post Graduate,No,Yes,6.5,75.2,Public,Yes,35.4,36.4,40.2,37.3
252,Male,16,4.0,85.2,High School,Yes,No,7.0,52.8,Public,Yes,29.8,38.9,36.8,35.2
253,Female,18,,96.4,Graduate,No,No,5.8,64.3,Public,Yes,30.2,22.3,24.2,25.6
254,Male,16,2.8,92.6,High School,No,Yes,6.6,62.6,Private,No,26.7,32.4,31.9,30.3
255,Male,15,2.7,75.4,Graduate,Yes,Yes,7.4,70.0,Public,No,31.5,30.1,29.5,30.4
256,Female,16,3.1,95.9,High School,No,No,7.0,,Public,No,29.8,25.2,25.2,26.7
257,Female,16,4.4,79.8,High School,Yes,Yes,6.2,78.2,Public,No,32.8,37.0,34.4,34.7
258,Female,17,4.9,74.0,Graduate,Yes,Yes,7.0,48.8,Private,No,48.0,49.1,50.4,49.2
259,Female,18,7.3,70.6,No Education,Yes,No,7.5,85.6,Public,Yes,58.3,58.5,62.5,59.8
260,Male,17,2.7,74.4,No Education,Yes,Yes,4.8,69.7,Public,No,11.3,27.4,21.4,20.0
261,Female,17,6.3,73.3,High School,Yes,No,8.0,,Public,Yes,48.9,52.7,57.9,53.2
262,Female,17,4.1,80.0,No Education,Yes,Yes,6.5,87.0,Public,No,22.7,25.5,19.5,22.6
263,Male,17,4.4,79.9,High School,No,Yes,7.2,48.3,Private,Yes,38.8,35.1,36.7,36.9
264,Female,17,,78.0,High School,Yes,No,8.0,64.5,Private,No,51.1,50.4,45.0,48.8
265,Female,16,2.5,83.2,Post Graduate,No,Yes,5.4,57.0,Public,Yes,16.1,22.7,20.5,19.8
266,Female,17,,92.3,Graduate,No,No,6.1,41.5,Public,Yes,42.7,45.5,46.6,44.9
267,Female,17,4.8,89.4,Graduate,No,No,6.5,70.2,Private,No,32.6,29.6,39.0,33.7
268,Female,18,5.4,60.2,High School,No,Yes,6.0,100.0,Public,Yes,22.3,34.1,25.5,27.3
269,Male,15,5.0,47.4,Post Graduate,Yes,Yes,8.5,37.4,Public,No,48.4,47.2,51.7,49.1
270,Male,16,8.9,89.2,High School,No,Yes,5.9,64.5,Public,No,51.0,46.8,47.9,48.6
271,Female,16,3.4,61.6,No Education,No,Yes,6.2,74.6,Private,No,14.7,23.4,17.3,18.5
272,Female,16,3.5,75.3,Graduate,Yes,Yes,7.0,66.8,Public,No,37.3,32.4,35.7,35.1
273,Female,17,3.4,64.0,High School,Yes,Yes,5.6,63.3,Public,No,23.3,27.8,32.2,27.8
274,Female,17,3.5,56.4,High School,Yes,Yes,6.4,45.5,Private,Yes,23.9,20.2,27.1,23.7
275,Female,17,3.4,84.5,Graduate,Yes,No,7.1,68.5,Public,No,44.1,50.6,46.9,47.2
276,Female,18,6.6,87.1,Post Graduate,Yes,No,6.5,53.6,Public,No,69.1,60.5,62.0,63.9
277,Female,15,7.1,71.1,Graduate,Yes,No,6.7,32.2,Private,No,30.9,46.0,31.6,36.2
278,Female,17,3.5,46.9,Graduate,Yes,Yes,6.3,82.9,Public,Yes,15.2,24.3,32.3,23.9
279,Female,15,3.0,71.4,Post Graduate,Yes,Yes,,79.4,Private,No,21.9,30.2,28.2,26.8
280,Female,18,5.3,,High School,No,No,7.1,,Public,No,38.5,38.1,36.5,37.7
281,Female,16,3.5,,High School,Yes,Yes,8.6,68.4,Public,No,23.1,23.0,32.1,26.1
282,Male,17,5.6,80.2,High School,Yes,Yes,6.8,81.1,Public,No,62.5,60.8,57.5,60.3
283,Male,15,4.9,77.8,Graduate,Yes,No,7.0,68.4,Public,Yes,49.6,53.2,44.3,49.0
284,Male,15,1.8,85.0,Graduate,Yes,No,7.5,78.6,Public,Yes,39.4,31.6,37.5,36.2
285,Female,17,7.3,79.4,Post Graduate,No,Yes,5.5,60.5,Private,No,59.5,58.6,54.8,57.6
286,Male,16,7.7,66.3,Graduate,Yes,Yes,8.5,84.7,Public,No,74.4,64.8,70.0,69.7
287,Male,16,3.4,92.4,Graduate,Yes,No,7.0,69.8,Public,No,37.2,38.5,54.9,43.5
288,Female,16,3.8,,High School,Yes,No,8.4,67.9,Public,Yes,37.2,41.6,36.5,38.4
289,Male,18,,77.7,Post Graduate,Yes,No,,45.9,Private,No,38.9,48.8,41.0,42.9
290,Female,15,5.1,66.8,Post Graduate,No,No,8.6,69.3,Public,No,37.1,38.0,33.5,36.2
291,Male,15,5.7,72.7,Post Graduate,No,No,7.6,52.5,Public,No,39.8,47.0,44.6,43.8
292,Male,15,8.1,67.4,No Education,Yes,Yes,7.4,55.4,Public,No,42.3,48.6,47.2,46.0
293,Female,18,4.2,75.9,Graduate,Yes,Yes,7.0,52.8,Public,Yes,35.7,36.0,34.3,35.3
294,Male,15,3.1,98.5,No Education,Yes,No,6.6,49.0,Public,No,18.1,17.6,26.5,20.7
295,Male,18,2.0,61.5,High School,Yes,No,8.0,96.9,Private,Yes,20.8,21.5,28.3,23.5
296,Female,16,3.2,58.6,No Education,Yes,No,6.9,85.0,Public,No,12.5,19.6,28.1,20.1
297,Female,17,4.4,,Graduate,Yes,Yes,4.8,93.8,Public,Yes,55.1,47.6,48.3,50.3
298,Male,15,7.7,75.5,Graduate,Yes,Yes,5.7,46.7,Public,No,51.7,52.4,45.0,49.7
299,Female,15,3.6,70.0,High School,Yes,No,6.6,66.1,Private,Yes,30.4,32.3,30.6,31.1
300,Male,16,4.9,90.5,High School,No,No,7.1,45.6,Public,No,38.4,31.0,29.8,33.1
301,Male,17,4.5,70.7,Graduate,No,No,6.7,54.6,Public,No,51.3,57.0,57.5,55.3
302,Female,18,6.6,99.9,High School,Yes,No,,51.2,Public,No,54.9,63.4,60.8,59.7
303,Female,17,9.0,86.1,High School,No,No,4.8,83.6,Public,Yes,39.6,48.5,50.5,46.2
304,Female,16,3.5,72.1,Graduate,Yes,No,6.9,59.1,Public,Yes,38.3,37.0,44.7,40.0
305,Female,16,3.6,100.0,Graduate,Yes,No,5.0,81.0,Public,Yes,41.5,46.4,39.6,42.5
306,Female,17,6.4,70.7,No Education,No,No,7.6,74.1,Public,No,32.1,26.4,33.8,30.8
307,Female,18,5.7,86.9,No Education,No,No,6.7,99.6,Public,Yes,42.5,25.2,32.1,33.3
308,Male,18,7.8,81.6,High School,No,Yes,7.2,42.8,Public,No,37.7,52.5,50.2,46.8
309,Female,15,5.6,93.6,Post Graduate,Yes,Yes,5.9,83.9,Public,No,51.2,46.9,52.8,50.3
310,Male,18,3.9,96.7,Graduate,Yes,No,8.1,82.2,Public,No,46.7,52.8,50.8,50.1
311,Male,17,5.6,78.4,Graduate,No,Yes,,50.4,Private,No,44.8,40.1,57.0,47.3
312,Male,16,,69.0,High School,Yes,Yes,7.4,80.1,Private,No,49.4,60.1,47.7,52.4
313,Male,15,6.0,83.5,Graduate,Yes,Yes,6.7,70.0,Private,Yes,39.5,48.7,43.0,43.7
314,Female,15,,69.9,No Education,Yes,Yes,7.4,61.6,Private,No,49.0,36.6,41.1,42.2
315,Female,16,6.4,100.0,Graduate,Yes,Yes,6.1,52.6,Private,No,63.1,54.9,61.6,59.9
316,Female,18,6.6,79.6,Post Graduate,Yes,Yes,7.7,54.2,Private,Yes,53.9,62.5,59.9,58.8
317,Male,16,7.0,73.6,Graduate,Yes,No,8.4,95.7,Public,No,50.5,42.8,44.6,46.0
318,Male,18,5.7,80.2,Post Graduate,No,Yes,7.9,65.0,Private,No,51.0,57.2,53.9,54.0
319,Male,16,4.2,61.8,Graduate,Yes,Yes,6.1,76.7,Public,No,29.5,29.1,40.5,33.0
320,Male,17,4.8,66.3,High School,Yes,Yes,7.2,,Public,Yes,30.4,41.9,45.3,39.2
321,Female,18,6.7,92.4,Post Graduate,Yes,No,5.5,53.3,Private,No,48.2,52.8,44.9,48.6
322,Female,17,3.0,70.1,No Education,Yes,Yes,7.4,81.2,Public,Yes,20.8,24.9,21.0,22.2
323,Female,15,5.2,,Graduate,Yes,No,7.3,44.8,Public,Yes,38.7,34.6,32.8,35.4
324,Male,16,3.8,84.4,High School,Yes,No,4.9,58.8,Private,No,33.0,28.1,30.5,30.5
325,Female,15,4.6,92.2,No Education,No,No,5.6,65.5,Public,No,18.2,29.0,22.6,23.3
326,Female,15,6.8,86.6,Graduate,Yes,Yes,6.5,,Public,No,56.2,58.2,56.4,56.9
327,Female,15,4.8,90.0,High School,No,No,6.5,62.3,Private,Yes,24.8,19.3,25.1,23.1
328,Female,15,4.6,68.9,Graduate,Yes,Yes,5.6,70.9,Private,No,32.6,35.3,24.8,30.9
329,Male,16,2.1,60.9,Graduate,Yes,No,7.2,75.4,Public,No,20.6,32.2,34.6,29.1
330,Male,15,5.8,96.0,No Education,Yes,No,7.1,76.0,Public,Yes,54.5,59.3,48.2,54.0
331,Male,16,5.7,74.1,High School,Yes,Yes,6.6,50.2,Public,No,30.1,37.8,38.4,35.4
332,Female,16,,75.0,Graduate,No,Yes,6.0,60.7,Private,Yes,44.4,38.3,44.2,42.3
333,Male,17,3.9,,High School,Yes,Yes,7.8,82.9,Public,No,30.5,29.2,27.3,29.0
334,Male,18,4.9,84.7,Graduate,Yes,No,8.5,78.4,Public,No,40.7,46.5,43.3,43.5
335,Male,18,4.9,83.5,Graduate,No,Yes,,44.4,Public,Yes,41.8,44.5,49.2,45.2
336,Male,16,,100.0,Post Graduate,No,No,6.2,70.3,Public,Yes,68.3,68.7,74.6,70.5
337,Female,17,4.3,70.3,Graduate,No,Yes,7.3,,Private,Yes,23.3,32.2,31.6,29.0
338,Female,16,5.0,89.1,Graduate,Yes,No,6.4,65.7,Public,Yes,44.3,28.9,40.8,38.0
339,Male,16,,78.7,Graduate,No,No,6.7,93.5,Private,No,41.0,50.7,41.3,44.3
340,Male,16,4.8,81.2,High School,Yes,No,7.5,50.8,Public,No,35.9,28.7,32.0,32.2
341,Female,17,,96.3,High School,Yes,No,4.9,52.5,Private,Yes,31.9,38.6,37.3,35.9
342,Male,18,,84.1,Graduate,Yes,Yes,8.1,76.5,Private,Yes,53.6,57.9,56.8,56.1
343,Male,17,6.4,84.5,Graduate,Yes,Yes,6.9,41.9,Public,No,52.7,63.6,50.3,55.5
344,Male,15,2.7,90.9,Graduate,Yes,No,6.4,55.5,Public,No,40.5,39.8,38.5,39.6
345,Male,17,4.7,73.6,Post Graduate,Yes,Yes,6.7,73.9,Public,Yes,33.8,38.4,39.8,37.3
346,Female,17,3.2,67.9,Post Graduate,No,Yes,6.8,55.5,Private,Yes,39.3,34.5,34.3,36.0
347,Female,17,6.7,65.5,Post Graduate,Yes,Yes,5.1,61.5,Public,No,58.1,65.2,55.9,59.7
348,Male,17,1.8,54.4,Graduate,Yes,Yes,8.3,76.2,Private,Yes,11.8,16.2,28.6,18.9
349,Male,18,3.5,100.0,High School,Yes,Yes,6.8,71.3,Private,Yes,46.7,54.1,52.5,51.1
350,Female,15,5.2,64.8,Graduate,No,No,7.2,69.0,Private,No,39.0,42.5,45.0,42.2
351,Female,18,,,High School,Yes,Yes,7.8,59.9,Private,No,60.2,67.0,56.4,61.2
352,Female,18,4.4,,Graduate,Yes,No,5.8,70.6,Public,No,35.0,43.6,38.6,39.1
353,Female,17,3.5,81.7,Graduate,No,Yes,7.3,63.1,Public,No,40.5,40.5,42.1,41.0
354,Male,16,7.9,87.8,Graduate,No,No,6.5,71.9,Public,No,63.4,66.1,65.4,65.0
355,Male,16,1.9,88.3,High School,Yes,Yes,7.6,57.5,Private,Yes,31.3,27.2,31.0,29.8
356,Female,18,0.5,71.0,High School,Yes,No,4.7,62.3,Private,Yes,23.3,18.6,23.0,21.6
357,Male,18,5.3,76.0,Graduate,No,No,,50.2,Private,Yes,42.1,42.0,35.0,39.7
358,Female,17,3.6,81.4,High School,Yes,Yes,6.2,64.5,Public,Yes,36.4,39.1,43.5,39.7
359,Female,18,2.7,75.0,Post Graduate,Yes,No,7.2,52.8,Public,No,21.7,32.3,32.0,28.7
360,Female,17,5.8,97.3,High School,No,No,7.3,48.3,Private,No,30.4,42.9,38.4,37.2
361,Male,16,4.9,83.9,High School,Yes,No,6.1,68.9,Public,No,43.4,44.9,45.3,44.5
362,Female,16,,86.8,No Education,Yes,No,,68.2,Public,No,16.9,18.8,10.5,15.4
363,Male,15,2.2,86.0,Graduate,Yes,Yes,6.7,76.7,Private,Yes,47.2,49.1,41.7,46.0
364,Female,16,6.1,92.1,Graduate,Yes,No,5.9,58.5,Public,Yes,60.7,55.2,58.1,58.0
365,Female,18,5.7,80.2,High School,Yes,Yes,7.6,71.1,Public,No,40.5,45.7,38.6,41.6
366,Male,16,4.3,62.4,No Education,No,Yes,6.4,73.3,Public,No,26.2,33.1,29.0,29.4
367,Female,17,7.8,82.8,Graduate,Yes,No,,71.7,Public,No,55.5,62.7,51.4,56.5
368,Female,16,2.6,70.2,High School,Yes,Yes,6.4,52.6,Private,No,40.0,29.8,34.0,34.6
369,Male,15,1.8,71.7,Graduate,Yes,No,5.8,67.2,Public,No,35.6,40.9,36.9,37.8
370,Male,16,3.3,85.0,Graduate,Yes,No,5.2,70.5,Public,No,24.6,35.8,28.0,29.5
371,Male,17,4.4,92.9,High School,No,No,5.6,65.1,Public,Yes,37.7,37.4,34.1,36.4
372,Male,17,4.9,78.3,High School,Yes,No,6.9,33.7,Private,No,31.8,40.1,35.5,35.8
373,Male,18,4.1,81.7,Post Graduate,Yes,Yes,8.1,67.4,Public,No,40.3,46.5,40.0,42.3
374,Female,16,5.1,98.4,Graduate,Yes,Yes,7.1,98.2,Public,Yes,42.0,40.5,49.3,43.9
375,Male,17,2.2,80.9,Graduate,Yes,Yes,6.2,59.6,Public,No,47.9,48.1,48.2,48.1
376,Male,15,7.1,100.0,High School,Yes,Yes,7.3,54.1,Public,Yes,62.2,68.6,60.7,63.8
377,Female,18,4.4,84.8,Graduate,No,Yes,6.3,70.6,Public,No,23.3,29.7,28.0,27.0
378,Male,15,6.5,56.9,No Education,No,Yes,6.1,69.7,Private,Yes,34.6,32.5,25.0,30.7
379,Female,16,5.1,87.0,Graduate,Yes,No,5.6,82.9,Private,No,43.2,36.9,33.6,37.9
380,Male,16,5.3,82.6,Post Graduate,Yes,No,5.0,46.1,Public,Yes,48.9,52.0,58.3,53.1
381,Male,16,5.5,93.5,High School,No,Yes,6.4,76.0,Public,No,37.8,42.6,40.0,40.1
382,Female,18,5.3,86.1,No Education,No,No,7.0,73.9,Private,Yes,49.0,50.5,53.3,50.9
383,Female,17,5.7,76.3,No Education,Yes,Yes,6.7,62.9,Public,Yes,57.6,48.2,45.7,50.5
384,Female,18,6.9,63.3,High School,Yes,Yes,6.4,70.1,Private,No,44.1,54.9,48.2,49.1
385,Female,15,4.9,75.5,High School,Yes,No,5.9,,Public,No,43.4,42.7,33.5,39.9
386,Female,18,5.8,67.8,No Education,Yes,No,7.4,,Private,Yes,36.9,35.4,26.9,33.1
387,Male,15,4.3,,Graduate,No,No,5.5,47.9,Private,Yes,30.4,35.0,29.8,31.7
388,Male,18,7.1,85.1,Graduate,Yes,Yes,7.6,,Private,No,60.3,66.1,66.7,64.4
389,Female,17,3.3,98.0,High School,Yes,No,5.8,64.0,Private,No,28.8,34.2,32.1,31.7
390,Female,15,7.7,82.7,Post Graduate,No,No,,,Public,No,58.3,69.6,60.8,62.9
391,Female,16,4.4,63.6,High School,No,No,5.3,66.1,Private,Yes,26.0,24.9,25.6,25.5
392,Male,16,1.9,83.3,Post Graduate,No,No,6.3,62.7,Public,No,24.4,31.6,17.1,24.4
393,Male,18,4.7,92.4,High School,No,No,7.8,82.9,Public,Yes,41.7,38.4,36.6,38.9
394,Female,16,3.3,70.7,Post Graduate,Yes,No,7.3,63.7,Private,Yes,39.3,39.5,46.4,41.7
395,Male,15,6.0,76.4,Graduate,Yes,No,,48.2,Private,No,31.0,48.3,37.0,38.8
396,Female,16,3.3,78.2,Post Graduate,Yes,No,7.3,59.1,Private,No,37.4,40.0,41.8,39.7
397,Female,17,3.7,68.6,Post Graduate,Yes,No,5.7,67.7,Public,No,32.8,36.7,28.9,32.8
398,Male,17,1.1,85.8,High School,Yes,Yes,6.5,83.4,Private,Yes,34.6,40.2,32.4,35.7
399,Female,18,,76.5,Post Graduate,Yes,No,6.0,74.0,Private,No,36.8,41.8,41.5,40.0
400,Female,15,0.5,83.0,High School,Yes,Yes,8.1,52.2,Public,No,30.2,29.3,28.0,29.2
401,Male,17,1.6,67.4,High School,No,Yes,5.6,100.0,Public,No,33.9,32.2,27.4,31.2
402,Female,17,5.9,72.8,High School,Yes,No,7.7,69.0,Public,Yes,44.0,44.1,41.8,43.3
403,Female,15,5.9,86.7,Graduate,No,No,7.7,84.1,Public,Yes,36.3,42.9,39.7,39.6
404,Female,16,5.3,73.5,High School,Yes,No,8.6,62.7,Private,Yes,21.0,16.9,15.0,17.6
405,Male,16,2.8,98.7,Graduate,Yes,Yes,6.4,73.0,Private,No,24.6,29.3,19.2,24.4
406,Female,18,4.4,73.2,Graduate,Yes,Yes,7.5,77.6,Private,Yes,38.3,29.6,33.6,33.8
407,Male,16,4.5,80.7,Graduate,Yes,Yes,9.1,,Private,No,50.5,60.1,56.6,55.7
408,Male,15,2.4,,Post Graduate,Yes,No,6.2,80.9,Public,Yes,41.9,46.5,39.4,42.6
409,Female,17,7.2,61.0,Graduate,No,No,5.3,,Private,No,43.4,48.7,45.8,46.0
410,Male,16,6.1,56.9,High School,Yes,No,4.9,60.3,Public,Yes,27.4,25.9,24.1,25.8
411,Male,18,4.1,59.7,High School,Yes,No,7.5,56.4,Private,No,29.8,18.0,23.8,23.9
412,Female,16,4.5,93.2,High School,Yes,No,4.9,70.0,Public,No,47.9,54.1,38.5,46.8
413,Female,15,4.9,,No Education,Yes,No,6.4,79.0,Private,Yes,40.6,50.2,37.7,42.8
414,Female,18,0.8,100.0,High School,No,Yes,7.2,61.7,Public,No,20.2,23.6,19.7,21.2
415,Female,16,4.1,71.2,High School,No,Yes,7.0,81.0,Public,No,18.8,39.1,34.6,30.8
416,Male,18,3.3,80.2,Post Graduate,Yes,No,7.2,86.8,Private,No,56.7,52.7,64.0,57.8
417,Male,15,2.7,96.5,Graduate,Yes,No,7.0,51.3,Public,No,35.2,33.3,34.6,34.4
418,Male,17,4.0,100.0,High School,Yes,Yes,8.1,52.4,Private,Yes,43.7,43.7,36.9,41.4
419,Female,15,7.7,100.0,Graduate,No,No,5.8,62.9,Public,Yes,55.6,62.9,61.8,60.1
420,Female,15,5.7,92.5,High School,Yes,Yes,6.1,69.6,Private,Yes,64.0,66.3,72.2,67.5
421,Female,15,3.5,90.3,Graduate,No,Yes,6.0,57.1,Public,Yes,17.9,24.2,21.4,21.2
422,Female,15,5.5,85.1,Graduate,No,No,7.6,85.3,Public,Yes,54.6,52.7,46.9,51.4
423,Male,17,7.0,,Graduate,Yes,No,7.7,71.4,Public,Yes,53.5,53.4,60.2,55.7
424,Female,17,6.2,71.4,Graduate,No,No,7.3,65.6,Public,No,55.7,49.4,48.9,51.3
425,Male,18,4.6,68.2,Post Graduate,Yes,Yes,8.0,,Public,No,39.6,42.9,34.4,39.0
426,Female,16,3.3,78.0,Post Graduate,Yes,Yes,5.6,45.3,Public,Yes,35.6,44.6,44.5,41.6
427,Male,17,5.8,76.0,Graduate,Yes,No,8.5,69.2,Public,Yes,53.1,60.4,58.8,57.4
428,Female,17,5.2,72.6,Graduate,No,No,8.3,33.0,Public,No,58.2,58.6,67.2,61.3
429,Male,16,6.1,86.4,Graduate,No,Yes,7.5,80.2,Public,Yes,42.5,57.4,54.2,51.4
430,Male,17,5.6,89.5,High School,Yes,No,8.6,62.6,Private,Yes,46.8,36.1,38.4,40.4
431,Male,15,6.4,79.1,High School,No,Yes,5.1,100.0,Public,Yes,41.7,35.7,44.1,40.5
432,Female,15,3.5,95.7,No Education,Yes,No,6.3,99.6,Public,No,33.7,30.5,27.2,30.5
433,Female,16,6.9,64.3,Graduate,No,No,6.1,62.3,Private,No,28.6,26.0,30.5,28.4
434,Male,18,4.9,75.7,Graduate,Yes,Yes,7.5,63.4,Public,Yes,34.4,41.1,36.9,37.5
435,Male,18,8.2,69.4,High School,Yes,Yes,5.7,79.9,Private,No,52.7,56.3,60.4,56.5
436,Female,16,3.3,55.6,Post Graduate,Yes,No,,90.5,Public,No,27.8,28.9,23.5,26.7
437,Male,16,7.6,77.0,Post Graduate,No,No,8.2,,Public,No,56.6,62.6,67.9,62.4
438,Female,15,,76.5,Graduate,No,No,7.5,38.2,Public,No,27.4,35.7,43.0,35.4
439,Female,18,3.3,96.2,Graduate,Yes,No,7.1,55.7,Private,No,31.9,39.6,29.1,33.5
440,Male,17,3.6,85.6,Post Graduate,Yes,No,5.8,73.7,Private,Yes,43.8,43.1,51.2,46.0
441,Male,15,3.9,65.7,High School,No,No,6.0,72.5,Public,Yes,40.4,41.5,47.0,43.0
442,Female,16,5.3,100.0,Graduate,Yes,Yes,8.0,81.0,Public,No,58.4,58.5,59.2,58.7
443,Male,18,5.4,92.7,High School,Yes,Yes,7.6,47.0,Private,No,45.7,45.3,40.5,43.8
444,Male,17,3.5,85.0,Graduate,No,Yes,6.8,30.3,Public,No,31.4,36.5,29.9,32.6
445,Female,17,4.5,75.3,High School,Yes,Yes,,77.9,Public,No,40.7,38.6,36.3,38.5
446,Female,15,8.4,,Post Graduate,Yes,No,4.8,52.6,Private,No,47.7,53.9,53.5,51.7
447,Female,18,7.6,73.5,Post Graduate,Yes,Yes,5.7,34.7,Private,Yes,46.3,54.5,51.5,50.8
448,Female,18,5.3,91.1,High School,No,No,8.7,67.2,Public,No,56.1,55.7,54.5,55.4
449,Male,16,4.6,100.0,Graduate,Yes,No,5.5,76.9,Private,No,40.7,48.4,37.1,42.1
450,Male,18,4.7,96.5,Post Graduate,No,No,,63.2,Private,No,40.9,54.3,50.8,48.7
451,Female,18,5.6,72.1,Graduate,Yes,Yes,7.8,58.1,Public,No,39.0,45.8,42.4,42.4
452,Female,15,2.7,64.6,Post Graduate,Yes,Yes,5.5,,Public,No,24.1,31.0,28.1,27.7
453,Male,18,4.0,79.7,Graduate,Yes,Yes,7.0,59.4,Public,Yes,43.2,51.4,39.0,44.5
454,Female,17,1.5,56.8,High School,No,Yes,7.7,44.8,Private,No,16.9,20.9,24.2,20.7
455,Male,15,5.2,81.9,High School,Yes,Yes,6.8,54.3,Private,Yes,55.8,60.8,65.6,60.7
456,Female,15,5.7,76.2,High School,No,No,9.7,72.8,Public,No,21.8,27.3,27.0,25.4
457,Male,16,3.6,72.4,Graduate,Yes,No,5.1,69.8,Private,No,31.6,32.3,25.7,29.9
458,Male,18,7.3,58.9,High School,Yes,No,7.9,67.5,Public,No,39.1,35.0,39.9,38.0
459,Male,16,2.3,84.2,Graduate,Yes,No,6.6,,Public,No,40.8,35.8,42.8,39.8
460,Male,17,1.9,71.6,Graduate,No,Yes,,62.3,Public,No,21.0,21.2,19.4,20.5
461,Male,15,4.9,64.0,Graduate,Yes,No,7.2,32.3,Public,No,34.6,23.6,31.5,29.9
462,Female,15,6.4,43.5,Post Graduate,Yes,No,6.1,67.7,Private,Yes,54.0,58.0,60.5,57.5
463,Female,15,7.5,77.7,Post Graduate,Yes,Yes,7.0,86.4,Public,No,70.6,68.0,71.2,69.9
464,Female,17,3.7,99.3,Graduate,No,No,4.9,42.9,Private,No,41.8,39.2,46.8,42.6
465,Female,17,6.4,97.9,Post Graduate,Yes,Yes,7.4,56.2,Public,No,63.2,60.3,62.3,61.9
466,Male,16,4.4,72.5,Graduate,No,No,7.1,69.9,Public,Yes,67.6,57.4,59.4,61.5
467,Male,16,4.2,70.8,Graduate,Yes,No,7.4,83.8,Private,No,48.8,59.5,51.3,53.2
468,Female,16,6.1,83.6,Post Graduate,Yes,Yes,7.9,58.3,Public,No,46.1,43.1,51.6,46.9
469,Male,18,5.7,66.0,High School,Yes,No,7.2,,Public,Yes,47.0,58.4,52.1,52.5
470,Female,15,1.7,81.6,High School,No,No,6.9,35.5,Public,Yes,28.9,29.4,21.0,26.4
471,Male,15,7.2,87.2,Post Graduate,No,No,5.9,66.6,Private,Yes,69.6,67.0,63.3,66.6
472,Female,16,7.0,92.7,Graduate,Yes,Yes,6.1,95.6,Public,No,49.5,48.0,31.4,43.0
473,Male,15,3.4,76.8,Post Graduate,Yes,No,,69.2,Public,No,44.3,48.9,32.1,41.8
474,Female,16,5.2,75.6,Post Graduate,Yes,Yes,,64.7,Public,No,39.8,41.4,41.1,40.8
475,Female,18,5.4,67.5,No Education,Yes,Yes,6.6,69.8,Public,Yes,44.0,48.2,47.1,46.4
476,Female,18,,68.1,Post Graduate,Yes,Yes,6.8,64.8,Private,No,44.7,53.4,52.6,50.2
477,Male,17,3.5,75.3,Graduate,Yes,No,5.9,52.8,Public,Yes,31.2,23.0,15.7,23.3
478,Female,18,3.3,82.4,Graduate,Yes,No,8.0,77.3,Public,Yes,40.6,46.4,36.0,41.0
479,Female,16,4.5,89.0,Graduate,Yes,No,7.5,68.4,Public,No,49.0,48.1,54.0,50.4
480,Female,18,6.6,68.4,Post Graduate,Yes,No,8.7,65.3,Public,Yes,59.9,51.9,56.6,56.1
481,Female,17,,,No Education,No,Yes,5.9,50.4,Private,No,39.7,52.1,45.5,45.8
482,Female,15,3.8,74.7,Graduate,Yes,Yes,6.4,84.6,Public,Yes,43.6,47.7,47.2,46.2
483,Male,16,5.9,77.7,Graduate,Yes,Yes,7.0,75.0,Private,No,47.8,49.3,51.3,49.5
484,Female,15,0.5,69.0,Graduate,No,Yes,7.4,56.7,Public,No,23.2,25.4,18.0,22.2
485,Female,17,6.6,48.9,Graduate,Yes,Yes,6.6,80.0,Public,No,31.9,35.6,32.1,33.2
486,Female,17,1.4,88.6,High School,Yes,Yes,5.9,57.5,Private,Yes,12.7,28.0,15.4,18.7
487,Male,17,3.8,86.8,High School,Yes,Yes,7.7,53.3,Public,Yes,42.9,44.8,43.0,43.6
488,Male,15,2.5,74.6,High School,Yes,Yes,7.5,53.6,Private,No,30.3,31.2,30.5,30.7
489,Female,15,2.2,78.8,Post Graduate,Yes,Yes,5.9,38.4,Private,Yes,36.3,49.1,40.2,41.9
490,Female,15,6.6,84.2,High School,Yes,Yes,8.2,72.1,Public,No,46.2,46.8,49.0,47.3
491,Male,15,3.7,59.2,High School,No,No,8.0,37.5,Public,No,14.8,22.2,19.8,18.9
492,Female,17,5.1,71.7,Post Graduate,Yes,No,6.9,46.6,Private,Yes,57.1,62.1,63.6,60.9
493,Male,17,4.4,87.5,No Education,Yes,No,6.9,33.9,Public,Yes,33.9,37.5,37.2,36.2
494,Male,16,5.4,62.9,Post Graduate,Yes,Yes,7.4,63.7,Public,No,38.0,45.8,41.2,41.7
495,Male,16,4.6,81.5,Graduate,Yes,Yes,5.9,62.7,Public,No,47.2,49.7,47.9,48.3
496,Male,15,2.2,61.7,Post Graduate,Yes,No,6.8,60.1,Public,No,32.1,29.6,32.5,31.4
497,Female,18,6.3,83.6,High School,No,Yes,4.6,49.4,Private,No,44.9,38.2,46.4,43.2
498,Male,18,3.6,77.6,No Education,Yes,Yes,7.7,47.4,Public,No,46.9,49.8,43.7,46.8
499,Female,17,1.7,,Graduate,Yes,Yes,5.2,72.0,Public,Yes,26.5,30.6,27.0,28.0
500,Female,17,3.7,92.0,Post Graduate,Yes,Yes,8.3,56.7,Private,No,42.0,47.0,53.1,47.4
